목록키,목록유형,목록명,파일데이터명,분류체계,제공기관코드,제공기관,관리 부서명,관리부서 전화번호,보유근거,수집방법,업데이트 주기,차기 등록 예정일,매체유형,전체행,확장자(데이터포맷),키워드,다운로드_활용신청건수,등록일,수정일,데이터 한계,제공형태,설명,기타 유의사항,공간범위,시간범위,비용부과유무,비용부과기준 및 단위,이용허락범위,API 유형,신청가능 트래픽,심의 유형,조회수,목록 URL,국가중점여부,표준데이터여부
15000249,FILE,법제처_법제업무편람,법제처_법제업무편람_20250115,공공행정 - 법제,1170000,법제처,국가법령정보센터,`0442006788,-,-,연간,2026-09-22,기타,1,PDF,"입법절차,법령심사,국회심의,내부지침,적용사례,심사기준,행정절차,절차안내",1553,2018-08-25,2025-11-07,-,기관자체에서 다운로드(제공데이터URL기재),"본 자료는 법령의 제정·개정·폐지 및 행정규칙 작성에 필요한 절차, 기준, 역할 분담 등의 내용을 체계적으로 정리한 편람입니다. 구체적으로 안건 접수, 담당 검토, 의견수렴, 법제심사, 확정·공포까지의 전 과정을 단계별로 안내합니다. 또한 각 단계별 심사항목과 관련 사례를 제시하여 실무자의 이해를 돕고 일관된 법제 운영을 지원합니다. 조직 내부에서 법적 안정성을 확보하고 효율적인 법령 관리를 추진하는 데 기초 자료로 활용됩니다. 아울러 권한 주체 간 협업 구조를 명확히 설명하여 법무·행정 부서의 실무 역량을 제고합니다.",-,대한민국,2024년,무료,건 ,"공공저작물 : 출처표시, 상업적 이용금지, 변경금지 (제 4유형)",-,-,-,12524,https://www.data.go.kr/data/15000249/fileData.do,N,N
15000444,FILE,경기도 성남시 산후조리원현황,경기도 성남시 산후조리원현황_20250530,보건의료 - 보건의료,3780000,경기도 성남시,정책기획과,`03115773100,-,-,연간,2026-05-30,텍스트,22,csv,"산후회복,출산,임산부,산후케어,모자보건,신생아케어",2750,2018-03-19,2025-05-30,-,공공데이터포털에서 다운로드(원문파일등록),"성남시 산후조리원현황은 출산 직후 산모와 신생아의 건강을 돌보기 위한 산후조리원이 지역 내에 얼마나 존재하며, 어떤 조건으로 운영되고 있는지를 파악한 자료입니다. 산후조리원현황은 구별, 동별, 산후조리원 이름, 산후조리원 주소, 전화번호, 산후조리원 허가일자, 임산부 정원(인원), 영유아 정원(인원), 임산부실 면적, 영유아실 면적, 모유수유실 면적, 간호사 인원, 간호조무사 인원 등의 정보를 현행화하여 제공하고 있습니다. 산후조리원은 「모자보건법」에 따라 일정 기준을 충족해야 등록이 가능합니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,8635,https://www.data.go.kr/data/15000444/fileData.do,N,N
15000484,FILE,제주특별자치도 서귀포시_착한가격업소정보,제주특별자치도 서귀포시_착한가격업소정보_20241025,문화관광 - 관광,6520000,제주특별자치도 서귀포시,서귀포시 디지털혁신과,`0647602283,-,-,연간,2025-11-21,텍스트,90,csv,"물가안정,서비스,우수업소,가격우수업소,소비자편의,외식업체,가격비교,착한가격",1634,2019-08-12,2025-09-15,-,공공데이터포털에서 다운로드(원문파일등록),"이 데이터는 서귀포시 내에서 물가 안정과 소비자 부담 완화를 위해 “착한가격업소”로 지정된 업소들의 정보(업종, 업소명, 주소, 연락처, 제공 품목, 위치좌표 등)를 모아놓은 자료입니다. 행정기관은 이 데이터를 활용해 저소득자나 관광객의 접근성이 좋은 착한가격업소 분포를 분석하고, 가격·품질 비교 지도를 통해 거리 기반 소비자 추천 서비스를 만들 수 있어요. 또한 업종별 업소 밀집 지역과 공백 지역을 시각화해 물가 안정 관련 정책을 집중 지원할 지역을 선정하거나, 소비자에게는 거주지 근처 또는 이동 동선 상에서 신뢰할 수 있는 가격 우수 업소를 쉽게 찾는 데 유용합니다. 품목 정보까지 포함되어 있어서 어떤 서비스나 음식 가격이 ‘착한가격업소’ 기준에 해당하는지 판단하는 데 도움이 되고, 외식업·이미용업·세탁업 등 서비스업 중심 업소들의 가격·품질 경쟁력에 대한 연구 자료로도 쓸만해요.","연락처(D열), 휴무일(E열) 공란사유: 데이터 미집계, 개인정보 포함",-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,4851,https://www.data.go.kr/data/15000484/fileData.do,N,N
15000543,FILE,전라남도 해남군_숙박업소,전라남도 해남군_숙박업소_20260205,문화관광 - 관광,4930000,전라남도 해남군,총무과,`0615305461,공중위생관리법,-,연간,2027-02-05,텍스트,78,csv,"공중위생,숙박,모텔,여행,호텔",993,2019-07-29,2026-02-09,-,공공데이터포털에서 다운로드(원문파일등록),"전라남도 해남군 소재 숙박업소 현황에 관한 데이터입니다.<br/>이 데이터에는 업종명, 숙박업소 명칭, 업태, 숙박업소 연락처, 숙박업소 소재지, 객실 수 항목에 대한 정보를 제공합니다.<br/><br/>26년  2월 기준 총 78개소의 숙박업소가 있습니다.<br/>해남읍에 28개소로 가장 많이 있으며, 두륜산 및 대흥사가 있는 삼산면은 15개소, 송호해수욕장 등이 있는 송지면 13개소, 우수영관광지가 있는 문내면 10개소 등의 순입니다.<br/><br/>해남군 문화관광 홈페이지에서 숙박업소 관련 사진, 서비스 제공 여부 등 다양한 정보를 얻을 수 있습니다.<br/>",공란은 정보없음,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,5896,https://www.data.go.kr/data/15000543/fileData.do,N,N
15000545,FILE,경상남도 창원시_누비자 터미널,경상남도 창원시_누비자 터미널_20250508,교통물류 - 도로,5670000,경상남도 창원시,기후환경국 환경정책과,`0552253774,-,-,연간,2026-05-08,텍스트,443,csv,"누비자,공영자전거,자전거배치,이용패턴분석,서비스접근성",1636,2019-12-18,2025-07-18,-,공공데이터포털에서 다운로드(원문파일등록),"창원시 시민공영자전거 누비자에 대하여 현재 설치된 터미널 현황을 터미널명, 위치(~구, ~동, 위도 및 경도), 주소, 등록일자 등을 제공합니다.<br/>누비자 터미널 데이터는 공영자전거 누비자의 주요 거점(터미널) 위치, 정류장 코드, 설치된 자전거 수용용량, 운영 시간대, 관리 주체 및 상태 정보를 종합적으로 정리한 자료입니다. 해당 자료는 거점별 이용 빈도 및 배차 효율 분석, 자전거 재배치 전략 수립, 접근성 및 수요 기반 인프라 확충, 서비스 품질 개선, 민원 대응, 스마트 모빌리티 정책 기획, 도시 교통 연계 측면에서 핵심 지표로 활용됩니다. 특히 GIS 기반 시각화와 결합하여 터미널 간 이용 흐름 분석 및 공간적 보완 전략을 마련하는 데 효과적입니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,8318,https://www.data.go.kr/data/15000545/fileData.do,N,N
15000592,FILE,충청남도 서산시_마을회관및경로당,충청남도 서산시_마을회관및경로당_20250418,사회복지 - 노인·청소년,4530000,충청남도 서산시,경로장애인과,`0416602058,-,-,연간,2026-04-18,텍스트,425,csv,"마을회관,경로당,회관,농촌정책,커뮤니티시설",1732,2013-12-12,2025-06-20,-,공공데이터포털에서 다운로드(원문파일등록),"충청남도 서산시에서 제공하는 본 데이터는 관내 마을회관 및 경로당 시설의 위치와 운영 현황을 정리한 자료이다. 항목은 명칭, 읍면동, 리_통, 용도, 면적, 도로명주소, 경도, 위도, 연락처, 데이터기준일로 구성되며, 주민 복지 향상과 커뮤니티 공간 운영에 활용된다. 본 데이터는 고령층 복지 지원과 지역사회 연계 공간 현황을 파악하는 데 기초자료로 사용된다. 시설의 분포, 접근성, 이용 수요 분석을 통해 행정계획과 복지정책 수립에 도움이 되며, 재난 발생 시 대응 거점으로서의 기능 파악에도 활용된다. 또한 농촌 고령화 대응, 마을 공동체 회복, 생활SOC 확충 등 정책 설계에도 유용하다. 데이터는 정기적으로 갱신되며, 시민과 행정기관에 제공되는 공공정보이다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,5824,https://www.data.go.kr/data/15000592/fileData.do,N,N
15000593,FILE,경상남도 하동군_의료기관안내 DB,경상남도 하동군_의료기관안내 DB_20230612,보건의료 - 보건의료,5440000,경상남도 하동군,경상남도 하동군 보건소 보건정책과,`0558806916,-,-,연간,2024-06-15,텍스트,43,csv,"병원,의원,한의원",850,2018-07-23,2023-06-12,-,공공데이터포털에서 다운로드(원문파일등록),"하동군 관내 의료기관 현황 (연번, 명칭, 도로명주소, 전화번호, 진료시간 등)에 대한 정보 데이터를 제공하고 있습니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3681,https://www.data.go.kr/data/15000593/fileData.do,N,N
15000602,FILE,경기도 성남시_시내버스 노선대장 목록정보,경기도 성남시_시내버스 노선대장 목록정보_20200805,교통물류 - 도로,3780000,경기도 성남시,정책기획과,`03115773100,-,-,수시,-,텍스트,59,xls,"노선번호,기점,종점,노선정보,운행현황,노선목록",596,2020-06-12,2025-11-20,-,기관자체에서 다운로드(제공데이터URL기재),"성남시의 시내버스 노선에 대한 데이터로 노선번호, 기점, 종점, 상행하행 운행시간, 배차, 운수사명의 항목을 제공합니다. ‘경기도 성남시_시내버스 노선대장 목록정보’ 데이터는 성남시에서 운행되는 시내버스의 노선 구조와 운영 현황을 체계적으로 정리한 자료입니다. 이 데이터에는 시민의 대중교통 이용에 필수적인 기본 정보가 포함되어 있습니다. 또한 노선별 정류장 위치, 운영 업체, 1일 운행 회차와 같은 세부적인 운행 정보도 제공하여 교통 흐름과 서비스 수준을 종합적으로 파악할 수 있습니다. 이러한 자료는 시내버스 노선 신설·개편, 교통 취약지역 관리, 배차 효율성 개선 등 행정적 의사결정에 중요한 근거가 되며, 시민들에게는 보다 편리하고 정확한 대중교통 이용 정보를 제공하는 데 큰 도움이 됩니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,4572,https://www.data.go.kr/data/15000602/fileData.do,N,N
15000609,FILE,경기도_연천군_공장등록 현황,경기도_연천군_공장등록 현황_20250428,산업고용 - 산업·중소기업일반,4140000,경기도 연천군,미디어콘텐츠과,`0318392081,-,-,연간,2026-04-28,텍스트,223,csv,"공장,지역산업,제조",2801,2016-06-23,2025-04-28,"일부 업체의 도로명주소, 전화번호, 팩스번호가 존재하지 않습니다.",공공데이터포털에서 다운로드(원문파일등록),"경기도 연천군 공장등록현황을 개방하여 지역산업을 파악하여 제조할 수 있도록 해주는 서비스입니다.(번호, 단지명, 회사명,소재지,도로명주소, 전화번호,위경도, 팩스번호, 생산품,업종명,종업원수)",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,6849,https://www.data.go.kr/data/15000609/fileData.do,N,N
15000613,FILE,충청남도 서산시_여객운수업체 정보,충청남도 서산시_여객운수업체 정보_20250417,교통물류 - 도로,4530000,충청남도 서산시,스마트정보과,`0416603183,-,-,연간,2026-04-17,텍스트,15,csv,"여객,버스,운수업,운수업체현황,교통행정",1708,2013-11-20,2025-06-20,-,공공데이터포털에서 다운로드(원문파일등록),"이 데이터는 충청남도 서산시 관내에서 여객운송업을 운영하는 업체 정보를 정리한 공공자료이다. 항목은 업종, 업체명, 소재지, 대표자, 전화번호, 차량보유대수로 구성되며, 지역 운송서비스 현황 파악과 행정업무 지원을 목적으로 한다. 업종은 택시, 버스 등 운송 형태이며, 업체명은 등록된 상호이다. 소재지는 사업장 주소이며, 대표자는 업체의 운영 책임자이다. 전화번호는 민원 응대 및 문의용 연락처이고, 차량보유대수는 운행 가능한 차량 수를 의미한다. 이 자료는 대중교통 정책 수립, 교통자원 관리, 업체 현황 파악, 시민 정보 제공 등 다양한 분야에서 활용된다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,4487,https://www.data.go.kr/data/15000613/fileData.do,N,N
